model,n,prop_extreme,magnitude_level,treatment,mean_est,bias,emp_se,rmse,coverage,n_fail
gamma,1000,0.01,1,mean_adj,0.0024,0.0024,0.1287,0.1286,0.958,0
gamma,1000,0.01,1,median_adj,-0.0077,-0.0077,0.1187,0.1188,0.966,0
gamma,1000,0.01,1,raw,0.0095,0.0095,0.7583,0.7576,0.8687,5
gamma,1000,0.01,1,topcode,0.021,0.021,0.2027,0.2036,0.934,0
gamma,1000,0.01,2,mean_adj,-0.0038,-0.0038,0.1299,0.1299,0.972,0
gamma,1000,0.01,2,median_adj,-2e-4,-2e-4,0.128,0.1279,0.97,0
gamma,1000,0.01,2,raw,0.0881,0.0881,1.1261,1.1283,0.8318,66
gamma,1000,0.01,2,topcode,0.0327,0.0327,0.2462,0.2481,0.944,0
gamma,1000,0.01,3,mean_adj,-0.0084,-0.0084,0.1197,0.1198,0.978,0
gamma,1000,0.01,3,median_adj,-0.0043,-0.0043,0.1208,0.1207,0.966,0
gamma,1000,0.01,3,raw,0.0314,0.0314,1.1266,1.1255,0.8381,148
gamma,1000,0.01,3,topcode,-0.0097,-0.0097,0.2521,0.252,0.93,0
gamma,1000,0.05,1,mean_adj,0.0508,0.0508,0.5404,0.5423,0.918,0
gamma,1000,0.05,1,median_adj,0.0187,0.0187,0.5405,0.5403,0.936,0
gamma,1000,0.05,1,raw,8e-4,8e-4,0.5963,0.5957,0.9116,2
gamma,1000,0.05,1,topcode,0.0135,0.0135,0.5487,0.5483,0.9135,3
gamma,1000,0.05,2,mean_adj,-0.0197,-0.0197,0.6662,0.6658,0.8931,4
gamma,1000,0.05,2,median_adj,-0.0067,-0.0067,0.6726,0.6719,0.903,5
gamma,1000,0.05,2,raw,-0.0239,-0.0239,0.6519,0.6517,0.9451,26
gamma,1000,0.05,2,topcode,0.0028,0.0028,0.6701,0.6694,0.8986,7
gamma,1000,0.05,3,mean_adj,0.0152,0.0152,0.694,0.6935,0.916,12
gamma,1000,0.05,3,median_adj,0.0394,0.0394,0.7203,0.7206,0.9085,19
gamma,1000,0.05,3,raw,0.075,0.075,0.7673,0.7701,0.9165,57
gamma,1000,0.05,3,topcode,0.0033,0.0033,0.6967,0.6959,0.9174,16
gamma,1000,0.1,1,mean_adj,0.0689,0.0689,0.4284,0.4335,0.922,0
gamma,1000,0.1,1,median_adj,0.0203,0.0203,0.4368,0.4368,0.94,0
gamma,1000,0.1,1,raw,0.0027,0.0027,0.439,0.4386,0.9379,1
gamma,1000,0.1,1,topcode,0.0123,0.0123,0.4092,0.409,0.946,0
gamma,1000,0.1,2,mean_adj,0.0349,0.0349,0.5039,0.5046,0.9299,1
gamma,1000,0.1,2,median_adj,0.0363,0.0363,0.5288,0.5295,0.9113,4
gamma,1000,0.1,2,raw,0.0348,0.0348,0.5214,0.5221,0.9238,1
gamma,1000,0.1,2,topcode,-0.009,-0.009,0.4712,0.4708,0.9396,3
gamma,1000,0.1,3,mean_adj,0.0143,0.0143,0.5081,0.5078,0.9396,3
gamma,1000,0.1,3,median_adj,0.0495,0.0495,0.5476,0.5493,0.9195,3
gamma,1000,0.1,3,raw,0.0355,0.0355,0.5209,0.5216,0.9268,8
gamma,1000,0.1,3,topcode,0.0321,0.0321,0.5297,0.5302,0.9231,6
gamma,2000,0.01,1,mean_adj,0.0044,0.0044,0.0724,0.0724,0.974,0
gamma,2000,0.01,1,median_adj,0.0048,0.0048,0.0821,0.0821,0.968,0
gamma,2000,0.01,1,raw,0.0371,0.0371,0.6293,0.6297,0.858,0
gamma,2000,0.01,1,topcode,0.0295,0.0295,0.1472,0.1499,0.938,0
gamma,2000,0.01,2,mean_adj,-0.0033,-0.0033,0.076,0.076,0.97,0
gamma,2000,0.01,2,median_adj,-2e-4,-2e-4,0.0717,0.0716,0.984,0
gamma,2000,0.01,2,raw,0.0184,0.0184,0.7655,0.765,0.874,8
gamma,2000,0.01,2,topcode,0.0217,0.0217,0.1472,0.1487,0.956,0
gamma,2000,0.01,3,mean_adj,1e-4,1e-4,0.0778,0.0777,0.968,0
