model,n,prop_extreme,magnitude_level,treatment,mean_est,bias,emp_se,rmse,coverage,n_fail
gamma,1000,0.01,1,mean_adj,0.0018,0.0018,0.1452,0.145,0.976,0
gamma,1000,0.01,1,median_adj,0.0114,0.0114,0.1394,0.1397,0.972,0
gamma,1000,0.01,1,raw,0.0454,0.0454,0.9412,0.9413,0.8382,24
gamma,1000,0.01,1,topcode,-0.0033,-0.0033,0.2394,0.2392,0.956,0
gamma,1000,0.01,2,mean_adj,-0.0018,-0.0018,0.1534,0.1532,0.968,0
gamma,1000,0.01,2,median_adj,0.0032,0.0032,0.1522,0.1521,0.976,0
gamma,1000,0.01,2,raw,-9e-4,-9e-4,1.1209,1.1194,0.8505,132
gamma,1000,0.01,2,topcode,0.0029,0.0029,0.2444,0.2442,0.98,0
gamma,1000,0.01,3,mean_adj,-1e-4,-1e-4,0.1589,0.1587,0.966,0
gamma,1000,0.01,3,median_adj,0.0012,0.0012,0.1677,0.1675,0.966,0
gamma,1000,0.01,3,raw,-0.0574,-0.0574,1.2442,1.2432,0.8433,232
gamma,1000,0.01,3,topcode,0.0083,0.0083,0.2903,0.2901,0.952,0
gamma,1000,0.05,1,mean_adj,0.0049,0.0049,0.6249,0.6243,0.924,0
gamma,1000,0.05,1,median_adj,-0.0076,-0.0076,0.6281,0.6275,0.9016,2
gamma,1000,0.05,1,raw,0.0605,0.0605,0.6768,0.6788,0.9096,2
gamma,1000,0.05,1,topcode,0.0164,0.0164,0.6286,0.6282,0.8978,1
gamma,1000,0.05,2,mean_adj,0.0062,0.0062,0.717,0.7163,0.9104,9
gamma,1000,0.05,2,median_adj,-0.016,-0.016,0.7367,0.7361,0.8957,11
gamma,1000,0.05,2,raw,0.0487,0.0487,1.7933,1.7921,0.9165,21
gamma,1000,0.05,2,topcode,0.0395,0.0395,0.6812,0.6817,0.9302,13
gamma,1000,0.05,3,mean_adj,-0.009,-0.009,0.7714,0.7707,0.891,23
gamma,1000,0.05,3,median_adj,0.0377,0.0377,0.789,0.7891,0.9089,28
gamma,1000,0.05,3,raw,-0.0172,-0.0172,0.8744,0.8735,0.8918,75
gamma,1000,0.05,3,topcode,-0.0414,-0.0414,0.7286,0.729,0.9015,23
gamma,1000,0.1,1,mean_adj,0.0063,0.0063,0.4961,0.4956,0.928,0
gamma,1000,0.1,1,median_adj,-0.0083,-0.0083,0.473,0.4726,0.944,0
gamma,1000,0.1,1,raw,-0.0244,-0.0244,0.4933,0.4934,0.924,0
gamma,1000,0.1,1,topcode,-0.0495,-0.0495,0.4392,0.4415,0.948,0
gamma,1000,0.1,2,mean_adj,0.0257,0.0257,0.4892,0.4894,0.95,0
gamma,1000,0.1,2,median_adj,0.0015,0.0015,0.5281,0.5276,0.9319,1
gamma,1000,0.1,2,raw,0.0254,0.0254,0.5303,0.5304,0.9438,2
gamma,1000,0.1,2,topcode,-0.0081,-0.0081,0.4996,0.4991,0.9299,1
gamma,1000,0.1,3,mean_adj,0.0179,0.0179,0.5748,0.5745,0.9177,2
gamma,1000,0.1,3,median_adj,-0.0349,-0.0349,0.5684,0.5689,0.917,6
gamma,1000,0.1,3,raw,-0.0447,-0.0447,0.5729,0.5741,0.9412,7
gamma,1000,0.1,3,topcode,0.0039,0.0039,0.5295,0.5289,0.9359,1
gamma,2000,0.01,1,mean_adj,0.0024,0.0024,0.0801,0.08,0.976,0
gamma,2000,0.01,1,median_adj,0.005,0.005,0.0878,0.0879,0.968,0
gamma,2000,0.01,1,raw,-0.013,-0.013,0.6084,0.6079,0.9254,4
gamma,2000,0.01,1,topcode,-0.0043,-0.0043,0.1616,0.1615,0.958,0
gamma,2000,0.01,2,mean_adj,-0.0058,-0.0058,0.0901,0.0902,0.972,0
gamma,2000,0.01,2,median_adj,-0,-0,0.0891,0.089,0.974,0
gamma,2000,0.01,2,raw,0.1201,0.1201,0.8766,0.8838,0.8543,40
gamma,2000,0.01,2,topcode,-0.0134,-0.0134,0.1614,0.1618,0.978,0
gamma,2000,0.01,3,mean_adj,-0.005,-0.005,0.086,0.0861,0.97,0
gamma,2000,0.01,3,median_adj,-0.0057,-0.0057,0.0929,0.093,0.964,0
gamma,2000,0.01,3,raw,3e-4,3e-4,0.9823,0.9811,0.8815,78
gamma,2000,0.01,3,topcode,-4e-4,-4e-4,0.1649,0.1647,0.972,0
gamma,2000,0.05,1,mean_adj,-0.0237,-0.0237,0.4006,0.4009,0.952,0
gamma,2000,0.05,1,median_adj,-0.0275,-0.0275,0.4202,0.4207,0.936,0
gamma,2000,0.05,1,raw,-0.0102,-0.0102,0.4514,0.4511,0.936,0
gamma,2000,0.05,1,topcode,-0.0123,-0.0123,0.4018,0.4016,0.93,0
gamma,2000,0.05,2,mean_adj,-0.0139,-0.0139,0.4881,0.4878,0.932,0
gamma,2000,0.05,2,median_adj,-0.028,-0.028,0.4855,0.4858,0.922,0
gamma,2000,0.05,2,raw,0.0263,0.0263,0.5126,0.5127,0.9396,3
gamma,2000,0.05,2,topcode,-0.0047,-0.0047,0.4485,0.448,0.9439,1
gamma,2000,0.05,3,mean_adj,0.0099,0.0099,0.4771,0.4767,0.9519,1
gamma,2000,0.05,3,median_adj,-0.0138,-0.0138,0.5456,0.5453,0.9217,2
gamma,2000,0.05,3,raw,-0.0575,-0.0575,0.5548,0.5573,0.9302,13
gamma,2000,0.05,3,topcode,0.0396,0.0396,0.4815,0.4826,0.946,0
gamma,2000,0.1,1,mean_adj,0.0047,0.0047,0.3152,0.315,0.954,0
gamma,2000,0.1,1,median_adj,-0.0049,-0.0049,0.325,0.3247,0.938,0
