"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"1","gamma",1000,0.01,1,"mean_adj",-0.0024,-0.0024,0.1339,0.1338,0.944,0
"2","gamma",1000,0.01,1,"median_adj",-0.0161,-0.0161,0.1424,0.1432,0.938,0
"3","gamma",1000,0.01,1,"raw",0.0808,0.0808,0.9381,0.9406,0.8365,23
"4","gamma",1000,0.01,1,"topcode",0.0039,0.0039,0.2631,0.2629,0.938,0
"5","gamma",1000,0.01,2,"mean_adj",-0.003,-0.003,0.1504,0.1503,0.938,0
"6","gamma",1000,0.01,2,"median_adj",-0.0036,-0.0036,0.1464,0.1463,0.95,0
"7","gamma",1000,0.01,2,"raw",-0.2815,-0.2815,5.0843,5.0849,0.8006,149
"8","gamma",1000,0.01,2,"topcode",0.0081,0.0081,0.2656,0.2655,0.936,0
"9","gamma",1000,0.01,3,"mean_adj",0.0025,0.0025,0.166,0.1659,0.946,0
"10","gamma",1000,0.01,3,"median_adj",-0.0091,-0.0091,0.1517,0.1518,0.954,0
"11","gamma",1000,0.01,3,"raw",-0.1106,-0.1106,2.2746,2.2731,0.8419,228
"12","gamma",1000,0.01,3,"topcode",0.0215,0.0215,0.2875,0.288,0.944,0
"13","gamma",1000,0.05,1,"mean_adj",0.0348,0.0348,0.6485,0.6488,0.896,0
"14","gamma",1000,0.05,1,"median_adj",-0.0075,-0.0075,0.6251,0.6246,0.91,0
"15","gamma",1000,0.05,1,"raw",0.0399,0.0399,0.6845,0.685,0.9082,10
"16","gamma",1000,0.05,1,"topcode",-0.0091,-0.0091,0.602,0.6015,0.9138,1
"17","gamma",1000,0.05,2,"mean_adj",0.0006,0.0006,0.7286,0.7279,0.8859,9
"18","gamma",1000,0.05,2,"median_adj",0.0545,0.0545,0.7172,0.7185,0.908,11
"19","gamma",1000,0.05,2,"raw",-0.0438,-0.0438,0.8313,0.8316,0.8844,59
"20","gamma",1000,0.05,2,"topcode",-0.0343,-0.0343,0.675,0.6752,0.9223,11
"21","gamma",1000,0.05,3,"mean_adj",-0.0842,-0.0842,0.781,0.7847,0.9013,24
"22","gamma",1000,0.05,3,"median_adj",-0.0177,-0.0177,0.7054,0.7049,0.9424,31
"23","gamma",1000,0.05,3,"raw",0.0506,0.0506,0.8358,0.8364,0.8961,67
"24","gamma",1000,0.05,3,"topcode",0.0279,0.0279,0.7214,0.7212,0.9179,37
