model,n,prop_extreme,magnitude_level,treatment,mean_est,bias,emp_se,rmse,coverage,n_fail,order_treatment
gamma,1000,0.01,1,raw,-0.003,-0.003,0.8153,0.8133,0.8492,1,1
gamma,1000,0.01,1,topcode,0.0209,0.0209,0.1937,0.1944,0.96,0,2
gamma,1000,0.01,1,mean_adj,-0.0036,-0.0036,0.1268,0.1265,0.98,0,3
gamma,1000,0.01,1,median_adj,-0.0015,-0.0015,0.1288,0.1284,0.95,0,4
logit,1000,0.01,1,raw,0.0235,0.0235,0.195,0.1959,0.955,0,1
logit,1000,0.01,1,topcode,0.0141,0.0141,0.1993,0.1993,0.935,0,2
logit,1000,0.01,1,mean_adj,-0.0039,-0.0039,0.1908,0.1904,0.955,0,3
logit,1000,0.01,1,median_adj,0.0338,0.0338,0.1937,0.1961,0.945,0,4
logols,1000,0.01,1,raw,0.0015,0.0015,0.3178,0.317,0.95,0,1
logols,1000,0.01,1,topcode,-0.012,-0.012,0.3217,0.3211,0.945,0,2
logols,1000,0.01,1,mean_adj,-0.0544,-0.0544,0.3023,0.3064,0.965,0,3
logols,1000,0.01,1,median_adj,0.019,0.019,0.3141,0.3139,0.95,0,4
gamma,1000,0.01,2,raw,-0.0696,-0.0696,1.0216,1.021,0.8363,29,1
gamma,1000,0.01,2,topcode,0.0034,0.0034,0.2507,0.2501,0.95,0,2
gamma,1000,0.01,2,mean_adj,-2.00E-04,-2.00E-04,0.1157,0.1154,0.97,0,3
gamma,1000,0.01,2,median_adj,-0.005,-0.005,0.1287,0.1285,0.975,0,4
logit,1000,0.01,2,raw,0.005,0.005,0.1766,0.1762,0.985,0,1
logit,1000,0.01,2,topcode,0.0074,0.0074,0.1812,0.1809,0.975,0,2
logit,1000,0.01,2,mean_adj,0.006,0.006,0.1912,0.1908,0.955,0,3
logit,1000,0.01,2,median_adj,0.0146,0.0146,0.1824,0.1825,0.96,0,4
logols,1000,0.01,2,raw,-0.0393,-0.0393,0.2959,0.2977,0.98,0,1
logols,1000,0.01,2,topcode,-0.0148,-0.0148,0.2935,0.2932,0.98,0,2
logols,1000,0.01,2,mean_adj,-0.0313,-0.0313,0.3066,0.3075,0.965,0,3
logols,1000,0.01,2,median_adj,-0.0153,-0.0153,0.2979,0.2975,0.96,0,4
gamma,1000,0.01,3,raw,-0.1288,-0.1288,1.1165,1.12,0.8542,56,1
gamma,1000,0.01,3,topcode,0.0054,0.0054,0.2544,0.2538,0.925,0,2
gamma,1000,0.01,3,mean_adj,-0.0194,-0.0194,0.1479,0.1488,0.97,0,3
gamma,1000,0.01,3,median_adj,0.0014,0.0014,0.1219,0.1216,0.965,0,4
logit,1000,0.01,3,raw,-6.00E-04,-6.00E-04,0.184,0.1835,0.965,0,1
logit,1000,0.01,3,topcode,0.0077,0.0077,0.1747,0.1745,0.98,0,2
logit,1000,0.01,3,mean_adj,0.0058,0.0058,0.1875,0.1871,0.96,0,3
logit,1000,0.01,3,median_adj,0.0191,0.0191,0.1989,0.1993,0.935,0,4
logols,1000,0.01,3,raw,-0.0368,-0.0368,0.3036,0.3051,0.965,0,1
logols,1000,0.01,3,topcode,-0.0274,-0.0274,0.2918,0.2924,0.975,0,2
logols,1000,0.01,3,mean_adj,-0.0378,-0.0378,0.301,0.3026,0.955,0,3
logols,1000,0.01,3,median_adj,-0.0193,-0.0193,0.3168,0.3165,0.94,0,4
gamma,1000,0.05,1,raw,-7.00E-04,-7.00E-04,0.6049,0.6034,0.904,2,1
gamma,1000,0.05,1,topcode,0.0311,0.0311,0.5333,0.5329,0.95,0,2
gamma,1000,0.05,1,mean_adj,0.0222,0.0222,0.5278,0.527,0.945,0,3
gamma,1000,0.05,1,median_adj,-0.0226,-0.0226,0.5193,0.5185,0.93,0,4
logit,1000,0.05,1,raw,0.0102,0.0102,0.18,0.1798,0.97,0,1
logit,1000,0.05,1,topcode,0.0248,0.0248,0.1849,0.1861,0.97,0,2
logit,1000,0.05,1,mean_adj,0.0044,0.0044,0.2044,0.2039,0.935,0,3
logit,1000,0.05,1,median_adj,-7.00E-04,-7.00E-04,0.169,0.1686,0.99,0,4
logols,1000,0.05,1,raw,-0.0332,-0.0332,0.3181,0.3191,0.965,0,1
logols,1000,0.05,1,topcode,-3.00E-04,-3.00E-04,0.3141,0.3133,0.97,0,2
logols,1000,0.05,1,mean_adj,-0.0347,-0.0347,0.3563,0.3571,0.93,0,3
logols,1000,0.05,1,median_adj,-0.0296,-0.0296,0.3088,0.3094,0.96,0,4
gamma,1000,0.05,2,raw,0.1015,0.1015,0.7608,0.7656,0.8756,7,1
gamma,1000,0.05,2,topcode,0.0036,0.0036,0.6283,0.6267,0.9487,5,2
