"contrast","estimate","SE","df","t.ratio","p.value"
"raw - topcode",0.0174611165634812,0.00292422403330483,67272,5.97119658569639,0.0000000235225841027642
"raw - mean_adj",-0.00680797354215596,0.00292422403330192,67272,-2.32812994648315,0.135945553660017
"raw - median_adj",0.00459907694154399,0.00292422403330256,67272,1.57275122875927,0.514967757417666
"raw - truncate",0.0233571105312464,0.00292422403330275,67272,7.98745590804336,0.000000000000081823436914874
"topcode - mean_adj",-0.0242690901056371,0.00291874829300474,67272,-8.31489654788047,0.0000000000000550670620214078
"topcode - median_adj",-0.0128620396219372,0.00291874829300537,67272,-4.40669709435389,0.000102517795025903
"topcode - truncate",0.00589599396776528,0.00291874829300556,67272,2.0200419412302,0.256239243946924
"mean_adj - median_adj",0.0114070504836999,0.00291874829300263,67272,3.90819945352844,0.00088353981932765
"mean_adj - truncate",0.0301650840734024,0.00291874829300265,67272,10.3349384891186,0.0000000000000481836792687318
"median_adj - truncate",0.0187580335897025,0.00291874829300329,67272,6.42673903558882,0.00000000130313770885238
